City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,loa janan,-0.5876,117.0887,25.04,93,100,0.79,ID,1686134120
1,puerto natales,-51.7262,-72.506,3.34,72,40,6.59,CL,1686134121
2,papatowai,-46.5619,169.4708,4.52,82,17,2.05,NZ,1686134121
3,praia da vitoria,38.7392,-27.1563,16.51,82,97,9.16,PT,1686134122
4,udachny,66.4118,112.2517,11.21,58,95,8.68,RU,1686134123
5,port-aux-francais,-49.3498,70.22,2.77,99,100,13.81,TF,1686134123
6,bethel,60.7922,-161.7558,10.02,93,100,2.57,US,1686134124
7,junin de los andes,-39.9509,-71.0709,2.64,73,86,1.9,AR,1686134124
8,douglas,54.1498,-4.4779,12.98,67,75,6.69,IM,1686134125
9,west island,-12.1459,96.8423,27.03,74,75,6.69,CC,1686134126
10,tiksi,71.6366,128.8685,3.99,78,43,1.6,RU,1686134127
11,bargaal,11.2868,51.078,34.66,49,44,3.19,SO,1686134128
12,college,45.3266,-75.8386,12.57,64,75,4.47,CA,1686134128
13,tofol,5.326,163.0087,29.05,77,65,5.69,FM,1686134130
14,kodiak,57.79,-152.4072,6.73,100,100,3.6,US,1686134130
15,thompson,55.7433,-97.8635,19.1,100,100,1.54,CA,1686134131
16,touros,-5.1999,-35.4595,27.23,74,13,4.67,BR,1686134132
17,waitangi,-35.2705,174.0805,11.98,88,55,5.25,NZ,1686134132
18,grytviken,-54.2806,-36.5098,2.36,99,100,1.85,GS,1686134133
19,edinburgh of the seven seas,-37.0676,-12.3108,15.85,84,100,8.69,SH,1686134133
20,mount gambier,-37.8247,140.782,13.43,92,18,3.47,AU,1686134134
21,boulder city,35.9788,-114.8338,22.36,24,67,3.28,US,1686134134
22,ribeira grande,37.8225,-25.5195,17.19,82,20,11.83,PT,1686134135
23,pisco,-13.71,-76.203,18.94,77,100,2.06,PE,1686134136
24,susuman,62.7797,148.1536,14.02,54,98,2.34,RU,1686134136
25,pacific grove,36.6211,-121.9178,14.39,89,100,1.54,US,1686134137
26,okawara,35.5458,139.1205,23.1,89,99,2.32,JP,1686134137
27,ternate,45.7823,8.6903,24.03,64,0,2.57,IT,1686134138
28,georgetown,6.8137,-58.1624,25.99,89,20,1.03,GY,1686134138
29,banda aceh,5.5528,95.3193,28.64,74,100,6.33,ID,1686134139
30,buka,-5.2314,154.6315,27.52,77,22,1.79,PG,1686134139
31,ad dawadimi,24.4942,44.3833,37.6,12,2,5.01,SA,1686134140
32,ancud,-41.8682,-73.8287,7.71,87,100,4.07,CL,1686134141
